TIGR00001;rpmI_bact: ribosomal protein L35
TIGR00360;ComEC_N-term: ComEC/Rec2-related protein
TIGR00361;ComEC_Rec2: DNA internalization-related competence protein ComEC/Rec2
TIGR00362;DnaA: chromosomal replication initiator protein DnaA
TIGR00363;TIGR00363: lipoprotein, YaeC family
TIGR00364;TIGR00364: queuosine biosynthesis protein QueC
TIGR00365;TIGR00365: monothiol glutaredoxin, Grx4 family
TIGR00366;TIGR00366: TIGR00366 family protein
TIGR00367;TIGR00367: K+-dependent Na+/Ca+ exchanger homolog
TIGR00368;TIGR00368: Mg chelatase-like protein
TIGR00369;unchar_dom_1: uncharacterized domain 1
TIGR00370;TIGR00370: sensor histidine kinase inhibitor, KipI family
TIGR00372;cas4: CRISPR-associated protein Cas4
TIGR00373;TIGR00373: transcription factor E
TIGR00374;TIGR00374: TIGR00374 family protein
TIGR00375;TIGR00375: TIGR00375 family protein
TIGR00376;TIGR00376: putative DNA helicase
TIGR00377;ant_ant_sig: anti-anti-sigma factor
TIGR00378;cax: calcium/proton exchanger
TIGR00379;cobB: cobyrinic acid a,c-diamide synthase
TIGR00380;cobD: cobalamin biosynthesis protein CobD
TIGR00381;cdhD: CO dehydrogenase/acetyl-CoA synthase, delta subunit
TIGR00382;clpX: ATP-dependent Clp protease, ATP-binding subunit ClpX
TIGR00383;corA: magnesium and cobalt transport protein CorA
TIGR00384;dhsB: succinate dehydrogenase and fumarate reductase iron-sulfur protein
TIGR00385;dsbE: periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily
TIGR00387;glcD: glycolate oxidase, subunit GlcD
TIGR00388;glyQ: glycine--tRNA ligase, alpha subunit
TIGR00389;glyS_dimeric: glycine--tRNA ligase
TIGR00390;hslU: ATP-dependent protease HslVU, ATPase subunit
TIGR00391;hydA: hydrogenase (NiFe) small subunit (hydA)
TIGR00392;ileS: isoleucine--tRNA ligase
TIGR00393;kpsF: sugar isomerase, KpsF/GutQ family
TIGR00394;lac_pts_IIC: PTS system, lactose-specific IIC component
TIGR00395;leuS_arch: leucine--tRNA ligase
TIGR00396;leuS_bact: leucine--tRNA ligase
TIGR00397;mauM_napG: MauM/NapG family ferredoxin-type protein
TIGR00398;metG: methionine--tRNA ligase
TIGR00399;metG_C_term: methionine--tRNA ligase, beta subunit
TIGR00400;mgtE: magnesium transporter
TIGR00401;msrA: peptide-methionine (S)-S-oxide reductase
TIGR00402;napF: ferredoxin-type protein NapF
TIGR00403;ndhI: NADH-plastoquinone oxidoreductase, I subunit
TIGR00405;L26e_arch: ribosomal protein L24
TIGR00406;prmA: ribosomal protein L11 methyltransferase
TIGR00407;proA: glutamate-5-semialdehyde dehydrogenase
TIGR00408;proS_fam_I: proline--tRNA ligase
TIGR00409;proS_fam_II: proline--tRNA ligase
TIGR00410;lacE: PTS system, lactose/cellobiose family IIC component
TIGR00411;redox_disulf_1: redox-active disulfide protein 1
TIGR00412;redox_disulf_2: redox-active disulfide protein 2
TIGR00413;rlpA: rare lipoprotein A
TIGR00414;serS: serine--tRNA ligase
TIGR00415;serS_MJ: serine--tRNA ligase
TIGR00416;sms: DNA repair protein RadA
TIGR00417;speE: spermidine synthase
TIGR00418;thrS: threonine--tRNA ligase
TIGR00419;tim: triose-phosphate isomerase
TIGR00420;trmU: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TIGR00421;ubiX_pad: polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases
TIGR00422;valS: valine--tRNA ligase
TIGR00423;TIGR00423: radical SAM domain protein, CofH subfamily
TIGR00424;APS_reduc: 5'-adenylylsulfate reductase, thioredoxin-independent
TIGR00425;CBF5: putative rRNA pseudouridine synthase
TIGR00426;TIGR00426: competence protein ComEA helix-hairpin-helix repeat region
TIGR00427;TIGR00427: membrane protein, MarC family
TIGR00430;Q_tRNA_tgt: queuine tRNA-ribosyltransferase
TIGR00431;TruB: tRNA pseudouridine(55) synthase
TIGR00432;arcsn_tRNA_tgt: archaeosine tRNA-ribosyltransferase
TIGR00433;bioB: biotin synthase
TIGR00434;cysH: phosophoadenylyl-sulfate reductase
TIGR00435;cysS: cysteine--tRNA ligase
TIGR00436;era: GTP-binding protein Era
TIGR00437;feoB: ferrous iron transport protein B
TIGR00438;rrmJ: ribosomal RNA large subunit methyltransferase J
TIGR00439;ftsX: putative protein insertion permease FtsX
TIGR00440;glnS: glutamine--tRNA ligase
TIGR00441;gmhA: phosphoheptose isomerase
TIGR00442;hisS: histidine--tRNA ligase
TIGR00443;hisZ_biosyn_reg: ATP phosphoribosyltransferase, regulatory subunit
TIGR00444;mazG: MazG family protein
TIGR00445;mraY: phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR00446;nop2p: NOL1/NOP2/sun family putative RNA methylase
TIGR00447;pth: peptidyl-tRNA hydrolase
TIGR00448;rpoE: DNA-directed RNA polymerase
TIGR00449;tgt_general: tRNA-guanine family transglycosylase
TIGR00450;mnmE_trmE_thdF: tRNA modification GTPase TrmE
TIGR00451;unchar_dom_2: uncharacterized domain 2
TIGR00452;TIGR00452: tRNA (mo5U34)-methyltransferase
TIGR00453;ispD: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
TIGR00454;TIGR00454: TIGR00454 family protein
TIGR00455;apsK: adenylylsulfate kinase
TIGR00456;argS: arginine--tRNA ligase
TIGR00457;asnS: asparagine--tRNA ligase
TIGR00458;aspS_nondisc: aspartate--tRNA(Asn) ligase
TIGR00459;aspS_bact: aspartate--tRNA ligase
TIGR00460;fmt: methionyl-tRNA formyltransferase
TIGR00461;gcvP: glycine dehydrogenase
TIGR00462;genX: EF-P lysine aminoacylase GenX
TIGR00463;gltX_arch: glutamate--tRNA ligase
TIGR00464;gltX_bact: glutamate--tRNA ligase
TIGR00465;ilvC: ketol-acid reductoisomerase
TIGR00466;kdsB: 3-deoxy-D-manno-octulosonate cytidylyltransferase
TIGR00467;lysS_arch: lysine--tRNA ligase
TIGR00468;pheS: phenylalanine--tRNA ligase, alpha subunit
TIGR00469;pheS_mito: phenylalanine--tRNA ligase
TIGR00470;sepS: O-phosphoserine--tRNA ligase
TIGR00471;pheT_arch: phenylalanine--tRNA ligase, beta subunit
TIGR00472;pheT_bact: phenylalanine--tRNA ligase, beta subunit
TIGR00473;pssA: CDP-diacylglycerol-serine O-phosphatidyltransferase
TIGR00474;selA: L-seryl-tRNA selenium transferase
TIGR00475;selB: selenocysteine-specific translation elongation factor
TIGR00476;selD: selenide, water dikinase
TIGR00477;tehB: tellurite resistance protein TehB
TIGR00478;tly: hemolysin TlyA family protein
TIGR00479;rumA: 23S rRNA (uracil-5-)-methyltransferase RumA
TIGR00481;TIGR00481: Raf kinase inhibitor-like protein, YbhB/YbcL family
TIGR00482;TIGR00482: nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00483;EF-1_alpha: translation elongation factor EF-1, subunit alpha
TIGR00484;EF-G: translation elongation factor G
TIGR00485;EF-Tu: translation elongation factor Tu
TIGR00486;YbgI_SA1388: dinuclear metal center protein, YbgI/SA1388 family
TIGR00487;IF-2: translation initiation factor IF-2
TIGR00488;TIGR00488: putative HD superfamily hydrolase
TIGR00489;aEF-1_beta: translation elongation factor aEF-1 beta
TIGR00490;aEF-2: translation elongation factor aEF-2
